Dataset,HC2,TS-CHIEF,HC1,InceptionTime,ROCKET,Arsenal,DrCIF,TDE,STC
ACSF1,0.93,0.84,0.94,0.91,0.9,0.89,0.88,0.92,0.89
Adiac,0.813299233,0.797953964,0.810741688,0.84398977,0.769820972,0.777493606,0.820971867,0.780051151,0.815856777
ArrowHead,0.862857143,0.805714286,0.822857143,0.862857143,0.794285714,0.817142857,0.805714286,0.885714286,0.691428571
Beef,0.866666667,0.766666667,0.9,0.666666667,0.833333333,0.833333333,0.766666667,0.833333333,0.833333333
BeetleFly,0.95,1,0.95,0.85,0.9,0.9,0.9,1,0.8
BirdChicken,0.9,0.95,0.95,0.95,0.9,0.9,0.9,0.95,0.9
BME,1,0.993333333,0.953333333,1,1,1,1,0.873333333,0.94
Car,0.916666667,0.866666667,0.833333333,0.9,0.85,0.916666667,0.883333333,0.85,0.85
CBF,1,0.997777778,0.998888889,0.998888889,1,1,0.998888889,0.998888889,0.965555556
Chinatown,0.982507289,0.968115942,0.979591837,0.985422741,0.979710145,0.979710145,0.988405797,0.962318841,0.973760933
ChlorineConcentration,0.771354167,0.659635417,0.738802083,0.876041667,0.806770833,0.78828125,0.738541667,0.70390625,0.752083333
CinCECGTorso,1,0.98115942,0.994927536,0.852898551,0.836956522,0.839130435,1,0.997101449,0.991304348
Coffee,1,1,1,1,1,1,1,1,1
Computers,0.764,0.7,0.776,0.808,0.752,0.764,0.736,0.684,0.672
CricketX,0.825641026,0.820512821,0.807692308,0.848717949,0.825641026,0.807692308,0.746153846,0.807692308,0.792307692
CricketY,0.851282051,0.8,0.823076923,0.843589744,0.856410256,0.843589744,0.805128205,0.815384615,0.776923077
CricketZ,0.864102564,0.830769231,0.823076923,0.848717949,0.858974359,0.861538462,0.81025641,0.815384615,0.81025641
Crop,0.765119048,0.764166667,0.772559524,0.798511905,0.751428571,0.744880952,0.781904762,0.719047619,0.732916667
DiatomSizeReduction,0.95751634,0.964052288,0.934640523,0.947712418,0.967320261,0.973856209,0.862745098,0.888888889,0.797385621
DistalPhalanxOutlineAgeGroup,0.748201439,0.748201439,0.755395683,0.73381295,0.748201439,0.755395683,0.748201439,0.748201439,0.755395683
DistalPhalanxOutlineCorrect,0.775362319,0.757246377,0.77173913,0.786231884,0.760869565,0.760869565,0.786231884,0.739130435,0.778985507
DistalPhalanxTW,0.705035971,0.676258993,0.676258993,0.654676259,0.71942446,0.71942446,0.697841727,0.676258993,0.712230216
Earthquakes,0.748201439,0.748201439,0.748201439,0.712230216,0.748201439,0.748201439,0.748201439,0.748201439,0.748201439
ECG200,0.89,0.84,0.86,0.91,0.91,0.9,0.89,0.87,0.84
ECG5000,0.947111111,0.945555556,0.947333333,0.941555556,0.947333333,0.946222222,0.942888889,0.944666667,0.943555556
ECGFiveDays,1,1,1,1,1,1,1,1,0.99883856
ElectricDevices,0.757618986,0.759953313,0.745947348,0.721177539,0.726105563,0.732200752,0.735572559,0.708987161,0.739722474
EOGHorizontalSignal,0.657458564,0.654696133,0.610497238,0.629834254,0.651933702,0.643646409,0.61878453,0.555248619,0.58839779
EOGVerticalSignal,0.569060773,0.596685083,0.546961326,0.516574586,0.533149171,0.552486188,0.585635359,0.46961326,0.488950276
EthanolLevel,0.696,0.528,0.684,0.832,0.57,0.584,0.598,0.456,0.724
FaceAll,0.868047337,0.842011834,0.778698225,0.792899408,0.946745562,0.946745562,0.763905325,0.778106509,0.746153846
FaceFour,1,1,0.988636364,0.954545455,0.977272727,0.977272727,1,1,0.738636364
FacesUCR,0.963414634,0.966829268,0.95902439,0.972195122,0.961463415,0.96195122,0.907317073,0.960487805,0.913170732
FiftyWords,0.832967033,0.848351648,0.775824176,0.846153846,0.832967033,0.821978022,0.782417582,0.784615385,0.749450549
Fish,0.988571429,0.994285714,0.994285714,0.982857143,0.971428571,0.977142857,0.942857143,0.994285714,0.931428571
FordA,0.953787879,0.95,0.950757576,0.960606061,0.941666667,0.946212121,0.968939394,0.933333333,0.929545455
FordB,0.830864198,0.82345679,0.832098765,0.849382716,0.80617284,0.803703704,0.816049383,0.819753086,0.813580247
FreezerRegularTrain,0.999649123,0.99754386,0.99754386,0.996842105,0.996491228,0.997192982,0.999649123,0.990175439,0.999298246
FreezerSmallTrain,0.998947368,0.997894737,0.985614035,0.845964912,0.949824561,0.950175439,0.999649123,0.949824561,0.997894737
GunPoint,1,1,1,1,0.993333333,1,0.993333333,1,0.993333333
GunPointAgeSpan,0.996835443,1,0.996835443,0.990506329,0.996835443,0.996835443,0.993670886,1,0.981012658
GunPointMaleVersusFemale,1,1,1,1,0.996835443,0.996835443,1,0.996835443,0.974683544
GunPointOldVersusYoung,1,1,1,1,0.993650794,0.987301587,1,0.996825397,0.968253968
Ham,0.695238095,0.704761905,0.704761905,0.723809524,0.714285714,0.733333333,0.733333333,0.59047619,0.752380952
HandOutlines,0.937837838,0.937837838,0.932432432,0.959459459,0.943243243,0.935135135,0.918918919,0.908108108,0.921621622
Haptics,0.545454545,0.529220779,0.538961039,0.571428571,0.519480519,0.519480519,0.519480519,0.519480519,0.538961039
Herring,0.671875,0.640625,0.671875,0.703125,0.671875,0.671875,0.609375,0.59375,0.671875
HouseTwenty,0.966386555,0.974789916,0.983193277,0.915966387,0.966386555,0.966386555,0.915966387,0.991596639,0.983193277
InlineSkate,0.552727273,0.527272727,0.485454545,0.485454545,0.474545455,0.469090909,0.549090909,0.501818182,0.436363636
InsectEPGRegularTrain,1,1,1,1,1,1,1,1,0.995983936
InsectEPGSmallTrain,1,1,1,1,0.983935743,0.983935743,1,1,0.979919679
InsectWingbeatSound,0.662626263,0.643939394,0.65959596,0.636868687,0.660606061,0.658080808,0.688383838,0.594949495,0.63989899
ItalyPowerDemand,0.971817298,0.965014577,0.960155491,0.965986395,0.968901846,0.967930029,0.972789116,0.954324587,0.9494655
LargeKitchenAppliances,0.906666667,0.768,0.853333333,0.904,0.904,0.904,0.824,0.746666667,0.824
Lightning2,0.786885246,0.836065574,0.770491803,0.836065574,0.754098361,0.754098361,0.770491803,0.770491803,0.68852459
Lightning7,0.821917808,0.767123288,0.726027397,0.794520548,0.821917808,0.808219178,0.753424658,0.698630137,0.753424658
Mallat,0.97782516,0.971002132,0.972707889,0.957782516,0.956929638,0.957782516,0.918550107,0.933901919,0.93901919
Meat,0.933333333,0.883333333,0.916666667,0.95,0.95,0.95,0.933333333,0.883333333,0.983333333
MedicalImages,0.807894737,0.796052632,0.731578947,0.796052632,0.793421053,0.8,0.789473684,0.759210526,0.714473684
MiddlePhalanxOutlineAgeGroup,0.597402597,0.571428571,0.590909091,0.551948052,0.590909091,0.597402597,0.61038961,0.603896104,0.571428571
MiddlePhalanxOutlineCorrect,0.852233677,0.824742268,0.835051546,0.835051546,0.838487973,0.828178694,0.83161512,0.759450172,0.81443299
MiddlePhalanxTW,0.558441558,0.564935065,0.584415584,0.532467532,0.564935065,0.558441558,0.584415584,0.616883117,0.597402597
MixedShapesRegularTrain,0.975670103,0.971134021,0.969484536,0.970309278,0.96742268,0.970309278,0.95628866,0.974845361,0.96
MixedShapesSmallTrain,0.958762887,0.949278351,0.953814433,0.910927835,0.937731959,0.940618557,0.921237113,0.950515464,0.938556701
MoteStrain,0.970447284,0.927316294,0.968051118,0.893769968,0.914536741,0.920926518,0.944089457,0.942492013,0.944888179
NonInvasiveFetalECGThorax1,0.947073791,0.917048346,0.924173028,0.95826972,0.954707379,0.949109415,0.934860051,0.834096692,0.935877863
NonInvasiveFetalECGThorax2,0.967430025,0.948091603,0.945038168,0.958778626,0.969465649,0.965394402,0.940966921,0.871755725,0.947073791
OliveOil,0.933333333,0.9,0.866666667,0.866666667,0.933333333,0.933333333,0.933333333,0.866666667,0.9
OSULeaf,0.962809917,0.995867769,0.983471074,0.921487603,0.94214876,0.938016529,0.859504132,0.950413223,0.954545455
PhalangesOutlinesCorrect,0.831002331,0.818181818,0.820512821,0.851981352,0.834498834,0.82983683,0.836829837,0.769230769,0.826340326
Phoneme,0.355485232,0.36128692,0.380801688,0.337025316,0.283227848,0.278481013,0.406118143,0.36814346,0.352848101
PigAirwayPressure,0.932692308,0.975961538,0.961538462,0.942307692,0.091346154,0.086538462,0.283653846,0.932692308,0.966346154
PigArtPressure,0.995192308,0.980769231,0.990384615,1,0.951923077,0.956730769,0.903846154,0.995192308,0.980769231
PigCVP,0.966346154,0.961538462,0.961538462,0.966346154,0.9375,0.932692308,0.649038462,0.966346154,0.942307692
Plane,1,1,1,1,1,1,1,1,1
PowerCons,0.983333333,0.988888889,1,0.994444444,0.933333333,0.933333333,0.994444444,0.922222222,0.961111111
ProximalPhalanxOutlineAgeGroup,0.853658537,0.858536585,0.83902439,0.848780488,0.858536585,0.853658537,0.843902439,0.858536585,0.853658537
ProximalPhalanxOutlineCorrect,0.900343643,0.883161512,0.890034364,0.931271478,0.900343643,0.89347079,0.896907216,0.869415808,0.907216495
ProximalPhalanxTW,0.829268293,0.824390244,0.824390244,0.8,0.819512195,0.814634146,0.795121951,0.809756098,0.8
RefrigerationDevices,0.538666667,0.570666667,0.578666667,0.514666667,0.536,0.536,0.610666667,0.536,0.538666667
Rock,0.92,0.9,0.96,0.6,0.9,0.9,0.88,0.82,0.96
ScreenType,0.578666667,0.498666667,0.557333333,0.594666667,0.477333333,0.493333333,0.541333333,0.453333333,0.629333333
SemgHandGenderCh2,0.956666667,0.923333333,0.97,0.873333333,0.918333333,0.925,0.941666667,0.863333333,0.936666667
SemgHandMovementCh2,0.855555556,0.877777778,0.871111111,0.584444444,0.637777778,0.628888889,0.855555556,0.682222222,0.786666667
SemgHandSubjectCh2,0.902222222,0.924444444,0.953333333,0.733333333,0.888888889,0.877777778,0.922222222,0.848888889,0.9
ShapeletSim,1,1,1,0.994444444,1,1,0.994444444,1,1
ShapesAll,0.921666667,0.925,0.931666667,0.925,0.906666667,0.91,0.855,0.93,0.83
SmallKitchenAppliances,0.837333333,0.824,0.834666667,0.778666667,0.813333333,0.818666667,0.818666667,0.781333333,0.813333333
SmoothSubspace,0.986666667,1,0.98,0.98,0.98,0.98,0.98,0.86,0.926666667
SonyAIBORobotSurface1,0.908485857,0.831946755,0.767054908,0.878535774,0.923460899,0.921797005,0.891846922,0.602329451,0.790349418
SonyAIBORobotSurface2,0.929695698,0.896117524,0.942287513,0.951731375,0.915005247,0.909758657,0.902413431,0.907660021,0.943336831
StarLightCurves,0.98215153,0.982515784,0.980573094,0.978387567,0.980573094,0.98081593,0.98081593,0.97620204,0.975230695
Strawberry,0.975675676,0.97027027,0.97027027,0.983783784,0.981081081,0.978378378,0.964864865,0.97027027,0.962162162
SwedishLeaf,0.9648,0.9648,0.9536,0.9696,0.9632,0.9632,0.9616,0.9408,0.9344
Symbols,0.975879397,0.977889447,0.979899497,0.984924623,0.972864322,0.973869347,0.963819095,0.961809045,0.965829146
SyntheticControl,1,0.996666667,0.996666667,0.996666667,0.996666667,1,0.996666667,0.993333333,0.993333333
ToeSegmentation1,0.964912281,0.969298246,0.973684211,0.964912281,0.969298246,0.964912281,0.925438596,0.964912281,0.960526316
ToeSegmentation2,0.938461538,0.961538462,0.961538462,0.946153846,0.915384615,0.923076923,0.876923077,0.946153846,0.946153846
Trace,1,1,1,1,1,1,1,1,1
TwoLeadECG,0.999122037,0.993854258,0.998244074,0.995610184,0.999122037,0.999122037,0.997366111,1,1
TwoPatterns,1,1,0.99925,1,1,1,1,0.99875,0.981
UMD,0.993055556,0.986111111,0.979166667,0.986111111,0.993055556,0.993055556,0.979166667,0.979166667,0.9375
UWaveGestureLibraryAll,0.974316025,0.970407594,0.967895031,0.950865438,0.975153546,0.974874372,0.972640983,0.946119486,0.955890564
UWaveGestureLibraryX,0.85455053,0.843383585,0.828866555,0.822166387,0.857900614,0.855667225,0.836683417,0.826353992,0.806532663
UWaveGestureLibraryY,0.774706868,0.771356784,0.746510329,0.771356784,0.773310999,0.770798437,0.765494137,0.762144054,0.711892797
UWaveGestureLibraryZ,0.797319933,0.78559464,0.77721943,0.768565047,0.793690676,0.792573981,0.781127862,0.77945282,0.762981575
Wafer,1,0.999188838,0.999675535,0.998702141,0.998864374,0.998215445,0.999026606,1,1
Wine,0.87037037,0.87037037,0.796296296,0.62962963,0.814814815,0.833333333,0.796296296,0.666666667,0.703703704
WordSynonyms,0.752351097,0.794670846,0.697492163,0.744514107,0.750783699,0.742946708,0.692789969,0.763322884,0.659874608
Worms,0.753246753,0.818181818,0.649350649,0.805194805,0.714285714,0.727272727,0.766233766,0.727272727,0.727272727
WormsTwoClass,0.792207792,0.831168831,0.766233766,0.766233766,0.74025974,0.779220779,0.779220779,0.766233766,0.818181818
Yoga,0.934,0.854333333,0.911666667,0.905,0.916666667,0.905333333,0.876666667,0.926,0.880666667